t_monotonic,t_since_run_start,timestamp_unix,src_pid,src_cpu_percent,src_rss_bytes,src_read_bytes,src_write_bytes,src_read_bytes_per_s,src_write_bytes_per_s,dst_pid,dst_cpu_percent,dst_rss_bytes,dst_read_bytes,dst_write_bytes,dst_read_bytes_per_s,dst_write_bytes_per_s,system_cpu_percent,mem_available_bytes,swap_used_bytes,host_dirty_bytes,host_writeback_bytes,disk_read_bytes_per_s,disk_write_bytes_per_s,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_cpu_full_avg10,psi_cpu_full_avg60,psi_cpu_full_avg300,psi_cpu_full_total,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_memory_full_avg10,psi_memory_full_avg60,psi_memory_full_avg300,psi_memory_full_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total,psi_io_full_avg10,psi_io_full_avg60,psi_io_full_avg300,psi_io_full_total
68715.067638794,48.03882957500173,1784112943.1800616,111434,135.9,1723314176,221184,3492757504,16371.87071930932,527747252.6369359,,,,,,,,9.0,27229831168,0,4681728,1572864,16371.87071930932,421989060.7578775,0.54,0.09,0.02,131824406,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.41,4.72,5.9,3922490601,5.17,4.62,5.83,3849499589
68716.068407474,49.039598254996235,1784112944.1808305,111434,99.9,1733799936,221184,3791650816,0.0,298663735.16169626,,,,,,,,6.8,27221651456,0,5689344,294912,0.0,231315824.1535601,0.98,0.19,0.04,131847292,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.88,4.82,5.92,3922558755,5.5,4.7,5.83,3849565883
68717.069217813,50.04040859399538,1784112945.1816404,111434,59.0,1748480000,221184,3874357248,0.0,82639466.01781727,,,,,,,,14.1,27205136384,0,5287936,0,0.0,31120765.629926827,0.98,0.19,0.04,131850720,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.88,4.82,5.92,3922614808,5.5,4.7,5.83,3849621361
68718.070087941,51.041278721997514,1784112946.1825109,111434,58.0,1763160064,237568,3970539520,16369.756216727716,96098653.87030005,,,,,,,,12.2,27191820288,0,4878336,286720,16369.756216727716,33017798.289139803,0.8,0.18,0.04,131854254,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.72,4.83,5.91,3922673681,5.41,4.71,5.83,3849679627
68719.07083259,52.04202337100287,1784112947.1832552,111434,60.0,1775742976,237568,4068655104,0.0,98042576.69278325,,,,,,,,7.7,27179646976,0,6045696,32768,0.0,32146046.478463706,0.8,0.18,0.04,131857653,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.72,4.83,5.91,3922734917,5.41,4.71,5.83,3849740283
68720.071574128,53.042764908997924,1784112948.183997,111434,62.0,1790423040,253952,4174516224,16371.859644024258,105782678.12495174,,,,,,,,5.7,27173924864,0,1196032,0,16371.859644024258,36554269.620195165,0.66,0.18,0.04,131861348,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.77,4.87,5.91,3922794749,5.52,4.75,5.83,3849799310
68721.072516264,54.04370704499888,1784112949.1849391,111434,57.0,1803005952,253952,4271894528,0.0,97286646.74768649,,,,,,,,4.4,27157688320,0,1368064,131072,0.0,32512089.190307446,0.66,0.18,0.04,131864527,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.77,4.87,5.91,3922852903,5.52,4.75,5.83,3849856861
68722.073255711,55.044446492000134,1784112950.1856792,111434,57.0,1815588864,253952,4368572416,0.0,96606452.64828768,,,,,,,,3.8,27140362240,0,1855488,98304,0.0,31331711.85962133,0.54,0.17,0.03,131867894,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.63,4.87,5.91,3922910327,5.42,4.76,5.82,3849913597
68723.074041298,56.04523207899183,1784112951.1864645,111434,35.0,1821880320,253952,4439580672,0.0,70952516.62591055,,,,,,,,2.3,27139518464,0,2101248,327680,0.0,21020542.53522592,0.54,0.17,0.03,131870484,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.63,4.87,5.91,3922975039,5.42,4.76,5.82,3849977729
68724.074904683,57.046095464000246,1784112952.1873279,111434,33.0,1828171776,253952,4519526400,0.0,79876763.59978722,,,,,,,,2.3,27126501376,0,1765376,0,0.0,22336682.84289572,0.44,0.16,0.03,131873212,0.0,0.0,0.0,0,0.0,0.0,0.0,4844095,0.0,0.0,0.0,4838156,5.7,4.91,5.91,3923044140,5.53,4.8,5.83,3850046309
